2265.00,-3193.90
1615.9,-3193.90
1191.2,-3193.90
701.1,-3193.90
202.5,-3193.90
-342.1,-3193.90
-1014.4,-3193.90
-1463.6,-3193.9
-2444.9,-3193.9
-2880.1,-3193.9
-10103.5,-3193.9 # chr2R
-10516.5,-3193.9
-11000.0,-3193.9
-11516.5,-3193.9
-12040.0,-3193.9
-12696.1,-3193.9
-13182.8,-3193.9
-13682.8,-3193.9
-14182.9,-3193.9
-14325.5,-3193.9
2555.3,6532.4 # buffer R
2221.4,6232.4
1470.7,6232.4
940.2,6232.4
456.8,6232.4
-24.5,6232.4
-632.1,6232.4
-1102.1,6232.4
-1587.7,6232.4
-2078.7,6232.4
-10276.8,6232.4 # buffer T
-10711.4,6232.4
-11330.0,6232.4
-11955.5,6232.4
-12296.9,6232.4
-12690.7,6232.4
-13451.6,6232.4
-14419.9,6232.4
-14730.2,6232.4
-15099.7,6232.4







